epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,453.601,0.99623,0.82113,1.08052,0.60741,0.49718,0.56886,0.35038,1.46518,1.38948,1.32322,0.000636762,0.000636762,0.000636762
72,459.209,0.96733,0.78794,1.05344,0.55602,0.57062,0.56408,0.3344,1.48698,1.61655,1.35286,0.000625445,0.000625445,0.000625445
73,464.961,0.97062,0.78028,1.06054,0.589,0.57487,0.59337,0.37197,1.36736,1.36088,1.30918,0.000614127,0.000614127,0.000614127
74,470.687,0.97407,0.76434,1.07048,0.61563,0.56105,0.5967,0.37383,1.38398,1.4065,1.28697,0.000602809,0.000602809,0.000602809
75,476.292,1.01915,0.79433,1.06457,0.53038,0.56497,0.5726,0.34985,1.40977,1.39582,1.313,0.000591492,0.000591492,0.000591492
76,482.074,0.96691,0.77899,1.08461,0.54868,0.64972,0.61899,0.37276,1.41042,1.2956,1.34093,0.000580174,0.000580174,0.000580174
77,488.108,1.06372,0.82511,1.11529,0.67382,0.49718,0.57747,0.36186,1.3843,1.55754,1.28303,0.000568856,0.000568856,0.000568856
78,493.676,0.96696,0.8163,1.0671,0.61664,0.54527,0.60267,0.3864,1.39801,1.42551,1.30581,0.000557539,0.000557539,0.000557539
79,499.248,0.97625,0.74264,1.04318,0.59352,0.54447,0.57319,0.36653,1.43276,1.42887,1.27668,0.000546221,0.000546221,0.000546221
80,505.024,0.9399,0.71183,1.04644,0.64706,0.54802,0.63212,0.39419,1.40079,1.30489,1.28415,0.000534903,0.000534903,0.000534903
81,510.691,0.91431,0.72421,1.05678,0.58485,0.63277,0.61586,0.38677,1.36107,1.23752,1.287,0.000523586,0.000523586,0.000523586
82,516.438,0.96267,0.7102,1.04974,0.56932,0.61243,0.5876,0.36598,1.40179,1.41604,1.30692,0.000512268,0.000512268,0.000512268
83,522.292,0.90242,0.69988,1.04037,0.6272,0.49718,0.56228,0.343,1.42659,1.43476,1.34383,0.00050095,0.00050095,0.00050095
84,528.163,0.93511,0.74532,1.04372,0.59304,0.49153,0.51682,0.31702,1.42459,1.61818,1.36179,0.000489633,0.000489633,0.000489633
85,533.765,0.9358,0.71063,1.03968,0.6408,0.50282,0.57469,0.34843,1.39613,1.4256,1.32462,0.000478315,0.000478315,0.000478315
86,539.354,0.85525,0.70499,1.00014,0.71359,0.49718,0.55425,0.34486,1.39963,1.44751,1.35324,0.000466997,0.000466997,0.000466997
87,545.001,0.92837,0.74111,1.04335,0.63961,0.56497,0.57379,0.36534,1.39641,1.44125,1.29273,0.00045568,0.00045568,0.00045568
88,550.624,0.89341,0.74427,0.99447,0.61644,0.56497,0.60023,0.38083,1.39491,1.34997,1.3261,0.000444362,0.000444362,0.000444362
